dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-348-1-0
the8x3_filename: 00440000
filename_extension: sbd
filename_label: sunfish-2021-348-1-0-sbd(00440000)
mission_name: regm20.mi
fileopen_time: Wed_Dec_15_16:07:00_2021
sensors_per_cycle: 28
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-348-1-0
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy 
in cc rad rad rad lat lon m volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 
NaN NaN 0.141603 1.68517 NaN NaN NaN NaN NaN NaN 316.392 NaN 0.147637 NaN NaN NaN NaN 1.50098 NaN NaN NaN 1639587764.523 31.6392 NaN 0.0628319 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.09601212379 -4913.30415034729 NaN 1639587780.537 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.177656 1.68521 NaN NaN NaN NaN NaN NaN 322.705 NaN 0.144742 NaN NaN NaN NaN 1.50098 NaN NaN NaN 1639587824.622 32.2705 NaN 0.0593412 NaN NaN NaN 
NaN NaN 0.256677 1.68525 NaN NaN NaN NaN NaN NaN 329.258 NaN 0.251851 NaN NaN NaN NaN 1.5516 NaN NaN NaN 1639587884.657 32.9258 NaN 0.0593412 NaN NaN NaN 
NaN NaN 0.238154 1.68526 NaN NaN NaN NaN NaN NaN 336.051 NaN 0.251851 NaN NaN NaN NaN 1.71217 NaN NaN NaN 1639587944.747 33.6051 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.0487197 1.68523 NaN NaN NaN NaN NaN NaN 343.106 NaN 0.0665814 NaN NaN NaN NaN 1.82561 NaN NaN NaN 1639588004.842 34.3106 NaN 0.0575959 NaN NaN NaN 
NaN NaN NaN NaN NaN 4840.76 -4826.84 NaN NaN NaN NaN NaN NaN 0 0 4834.9592 -4913.672 NaN NaN NaN NaN 1639588008.847 NaN NaN NaN NaN NaN NaN 
0.142445 -212.5 NaN NaN -0.4538 NaN NaN NaN 14.9959 0.117756 NaN -219.281 NaN NaN NaN NaN NaN NaN NaN NaN -0.406662 1639588048.871 NaN NaN NaN 7.7829 NaN NaN 
NaN NaN -0.0483681 1.6852 NaN NaN NaN NaN NaN NaN 350.227 NaN -0.0289484 NaN NaN NaN NaN 1.83609 NaN NaN NaN 1639588064.884 35.0227 NaN 0.0593412 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.10294233473 -4913.24962633313 NaN 1639588080.897 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0674722 1.68517 NaN NaN NaN NaN NaN NaN 356.954 NaN -0.0665814 NaN NaN NaN NaN 1.74533 NaN NaN NaN 1639588125.171 35.6954 NaN 0.0593412 NaN NaN NaN 
NaN NaN -0.0674722 1.68516 NaN NaN NaN NaN NaN NaN 364.031 NaN -0.0665814 NaN NaN NaN NaN 1.65108 NaN NaN NaN 1639588185.266 36.4031 NaN 0.0593412 NaN NaN NaN 
NaN NaN 0.103398 1.68519 NaN NaN NaN NaN NaN NaN 371.458 NaN 0.107109 NaN NaN NaN NaN 1.56556 NaN NaN NaN 1639588249.305 37.1458 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.203704 1.68522 NaN NaN NaN NaN NaN NaN 378.382 NaN 0.193954 NaN NaN NaN NaN 1.55509 NaN NaN NaN 1639588309.397 37.8382 NaN 0.0628319 NaN NaN NaN 
NaN NaN 0.197641 1.68524 NaN NaN NaN NaN NaN NaN 385.197 NaN 0.193954 NaN NaN NaN NaN 1.64759 NaN NaN NaN 1639588369.492 38.5197 NaN 0.0645772 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.11186598043 -4913.1936331317 NaN 1639588381.502 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.197641 1.68524 NaN NaN NaN NaN NaN NaN 391.772 NaN 0.193954 NaN NaN NaN NaN 1.77849 NaN NaN NaN 1639588429.534 39.1772 NaN 0.0628319 NaN NaN NaN 
0.175266 NaN NaN NaN -0.4538 NaN NaN NaN 15.008 0.117756 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.403171 1639588451.514 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0372362 1.68521 NaN NaN NaN NaN NaN NaN 398.39 NaN -0.0202639 NaN NaN NaN NaN 1.8483 NaN NaN NaN 1639588491.537 39.839 NaN 0.0593412 NaN NaN NaN 
NaN NaN -0.0675279 1.68518 NaN NaN NaN NaN NaN NaN 404.812 NaN -0.0463175 NaN NaN NaN NaN 1.78198 NaN NaN NaN 1639588551.853 40.4812 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.0695213 1.68517 NaN NaN NaN NaN NaN NaN 410.666 NaN -0.0723711 NaN NaN NaN NaN 1.66679 NaN NaN NaN 1639588611.892 41.0666 NaN 0.0593412 NaN NaN NaN 
NaN -212.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN -219.304 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639588651.972 NaN NaN NaN 7.76882 NaN NaN 
NaN NaN 0.0705332 1.68518 NaN NaN NaN NaN NaN NaN 416.345 NaN 0.055002 NaN NaN NaN NaN 1.56731 NaN NaN NaN 1639588671.988 41.6345 NaN 0.0593412 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.11645382683 -4913.14251187403 NaN 1639588683.999 NaN NaN NaN NaN NaN NaN 
