dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-348-1-0
the8x3_filename: 00440000
filename_extension: sbd
filename_label: sunfish-2021-348-1-0-sbd(00440000)
mission_name: regm20.mi
fileopen_time: Wed_Dec_15_16:07:00_2021
sensors_per_cycle: 28
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-348-1-0
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy 
in cc rad rad rad lat lon m volts in m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 
NaN NaN -0.0458508 1.68401 NaN NaN NaN NaN NaN NaN 832.1 NaN -0.0578968 NaN NaN NaN NaN 1.86052 NaN NaN NaN 1639595051.358 83.21 NaN 0.0767945 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.22452808907 -4911.97265970279 NaN 1639595081.364 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0493435 1.68391 NaN NaN NaN NaN NaN NaN 815.325 NaN -0.0578968 NaN NaN NaN NaN 1.85354 NaN NaN NaN 1639595141.375 81.5325 NaN 0.0733038 NaN NaN NaN 
NaN NaN -0.0433782 1.68381 NaN NaN NaN NaN NaN NaN 798.768 NaN -0.0578968 NaN NaN NaN NaN 1.84307 NaN NaN NaN 1639595231.393 79.8768 NaN 0.0767945 NaN NaN NaN 
NaN NaN -0.0422436 1.68375 NaN NaN NaN NaN NaN NaN 787.89 NaN -0.0578968 NaN NaN NaN NaN 1.81689 NaN NaN NaN 1639595291.405 78.789 NaN 0.0733038 NaN NaN NaN 
-0.200913 187.5 NaN NaN 0.4538 NaN NaN NaN 14.8724 -0.162234 NaN 187.055 NaN NaN NaN NaN NaN NaN NaN NaN 0.420624 1639595321.411 NaN NaN NaN 7.93781 NaN NaN 
NaN NaN -0.0377208 1.68368 NaN NaN NaN NaN NaN NaN 771.814 NaN -0.0578968 NaN NaN NaN NaN 1.80293 NaN NaN NaN 1639595381.421 77.1814 NaN 0.0698132 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.22724611775 -4911.87604068622 NaN 1639595411.427 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0315391 1.68362 NaN NaN NaN NaN NaN NaN 756.306 NaN -0.0578968 NaN NaN NaN NaN 1.75755 NaN NaN NaN 1639595471.439 75.6306 NaN 0.0698132 NaN NaN NaN 
NaN NaN -0.0315391 1.68358 NaN NaN NaN NaN NaN NaN 740.229 NaN -0.0347381 NaN NaN NaN NaN 1.7366 NaN NaN NaN 1639595561.457 74.0229 NaN 0.0733038 NaN NaN NaN 
NaN NaN -0.0315391 1.68355 NaN NaN NaN NaN NaN NaN 723.76 NaN -0.0376329 NaN NaN NaN NaN 1.73311 NaN NaN NaN 1639595651.473 72.376 NaN 0.0715585 NaN NaN NaN 
-0.200913 NaN -0.0315391 1.68352 0.4538 NaN NaN NaN 14.9509 -0.160615 708.055 NaN -0.0376329 NaN NaN NaN NaN 1.72613 4835.23536263499 -4911.78154250549 0.418879 1639595741.491 70.8055 NaN 0.0680678 NaN NaN NaN 
NaN NaN -0.0315391 1.6835 NaN NaN NaN NaN NaN NaN 692.35 NaN -0.0376329 NaN NaN NaN NaN 1.66679 NaN NaN NaN 1639595831.508 69.235 NaN 0.0663225 NaN NaN NaN 
NaN NaN -0.0315391 1.68353 NaN NaN NaN NaN NaN NaN 676.318 NaN -0.0376329 NaN NaN NaN NaN 1.57952 NaN NaN NaN 1639595921.525 67.6318 NaN 0.0698132 NaN NaN NaN 
NaN 187.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN 187.032 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639595951.531 NaN NaN NaN 7.9604 NaN NaN 
NaN NaN 0.0100887 1.68358 NaN NaN NaN NaN NaN NaN 659.346 NaN 0.0144742 NaN NaN NaN NaN 1.63188 NaN NaN NaN 1639596011.542 65.9346 NaN 0.0715585 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.25103169507 -4911.6845616939 NaN 1639596071.555 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0100887 1.68362 NaN NaN NaN NaN NaN NaN 641.391 NaN 0.0144742 NaN NaN NaN NaN 1.61617 NaN NaN NaN 1639596101.561 64.1391 NaN 0.0680678 NaN NaN NaN 
-0.200913 NaN NaN NaN 0.4538 NaN NaN NaN 14.9891 -0.162234 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.411898 1639596161.573 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0100887 1.68366 NaN NaN NaN NaN NaN NaN 623.327 NaN 0.0144742 NaN NaN NaN NaN 1.60745 NaN NaN NaN 1639596191.579 62.3327 NaN 0.0698132 NaN NaN NaN 
NaN NaN 0.0100887 1.68372 NaN NaN NaN NaN NaN NaN 605.176 NaN 0.0144742 NaN NaN NaN NaN 1.58999 NaN NaN NaN 1639596281.596 60.5176 NaN 0.0698132 NaN NaN NaN 
NaN NaN 0.016429 1.68379 NaN NaN NaN NaN NaN NaN 586.871 NaN 0.0144742 NaN NaN NaN NaN 1.56032 NaN NaN NaN 1639596371.614 58.6871 NaN 0.0733038 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.27143026478 -4911.57811077567 NaN 1639596401.62 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0228544 1.68388 NaN NaN NaN NaN NaN NaN 568.633 NaN 0.0144742 NaN NaN NaN NaN 1.53764 NaN NaN NaN 1639596461.631 56.8633 NaN 0.0715585 NaN NaN NaN 
NaN NaN 0.0273818 1.68398 NaN NaN NaN NaN NaN NaN 550.962 NaN 0.0144742 NaN NaN NaN NaN 1.49749 NaN NaN NaN 1639596551.649 55.0962 NaN 0.0680678 NaN NaN NaN 
-0.200913 187.5 NaN NaN 0.4538 NaN NaN NaN 15.0084 -0.162234 NaN 187.1 NaN NaN NaN NaN NaN NaN NaN NaN 0.411898 1639596581.655 NaN NaN NaN 7.97645 NaN NaN 
NaN NaN 0.0253413 1.68408 NaN NaN NaN NaN NaN NaN 533.466 NaN 0.0376329 NaN NaN NaN NaN 1.54113 NaN NaN NaN 1639596641.666 53.3466 NaN 0.0733038 NaN NaN NaN 
NaN NaN 0.0219963 1.68417 NaN NaN NaN NaN NaN NaN 515.817 NaN 0.0376329 NaN NaN NaN NaN 1.55509 4835.29514515642 -4911.47514542859 NaN 1639596731.683 51.5817 NaN 0.0680678 NaN NaN NaN 
NaN NaN 0.0280661 1.68426 NaN NaN NaN NaN NaN NaN 498.605 NaN 0.0376329 NaN NaN NaN NaN 1.53065 NaN NaN NaN 1639596821.702 49.8605 NaN 0.0698132 NaN NaN NaN 
NaN NaN 0.0259486 1.68435 NaN NaN NaN NaN NaN NaN 481.764 NaN 0.0376329 NaN NaN NaN NaN 1.54462 NaN NaN NaN 1639596911.719 48.1764 NaN 0.0715585 NaN NaN NaN 
-0.200913 NaN 0.0257563 1.68444 0.4538 NaN NaN NaN 15.0191 -0.162234 464.574 NaN 0.0376329 NaN NaN NaN NaN 1.53414 NaN NaN 0.406662 1639597001.737 46.4574 NaN 0.0733038 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.31645176071 -4911.38266132366 NaN 1639597031.743 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0283388 1.68454 NaN NaN NaN NaN NaN NaN 447.383 NaN 0.0376329 NaN NaN NaN NaN 1.54287 NaN NaN NaN 1639597091.752 44.7383 NaN 0.0698132 NaN NaN NaN 
NaN NaN 0.0238244 1.68463 NaN NaN NaN NaN NaN NaN 430.324 NaN 0.0376329 NaN NaN NaN NaN 1.57778 NaN NaN NaN 1639597181.77 43.0324 NaN 0.0733038 NaN NaN NaN 
NaN 187.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN 187.191 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639597211.776 NaN NaN NaN 7.99086 NaN NaN 
NaN NaN 0.0182584 1.68467 NaN NaN NaN NaN NaN NaN 418.704 NaN 0.0376329 NaN NaN NaN NaN 1.57429 NaN NaN NaN 1639597241.782 41.8704 NaN 0.0715585 NaN NaN NaN 
NaN NaN 0.0246283 1.68475 NaN NaN NaN NaN NaN NaN 401.23 NaN 0.0376329 NaN NaN NaN NaN 1.56381 NaN NaN NaN 1639597331.799 40.123 NaN 0.0715585 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.33821217122 -4911.28095104935 NaN 1639597361.805 NaN NaN NaN NaN NaN NaN 
-0.300423 NaN 0.0239821 1.68483 0.4538 NaN NaN NaN 15.0117 -0.285235 382.991 NaN 0.0376329 NaN NaN NaN NaN 1.55509 NaN NaN 0.445059 1639597421.817 38.2991 NaN 0.0715585 NaN NaN NaN 
NaN NaN 0.0300233 1.68492 NaN NaN NaN NaN NaN NaN 363.704 NaN 0.0376329 NaN NaN NaN NaN 1.53414 NaN NaN NaN 1639597511.834 36.3704 NaN 0.0715585 NaN NaN NaN 
NaN NaN 0.0330036 1.68502 NaN NaN NaN NaN NaN NaN 344.111 NaN 0.0376329 NaN NaN NaN NaN 1.5324 NaN NaN NaN 1639597601.852 34.4111 NaN 0.0733038 NaN NaN NaN 
NaN NaN 0.0344355 1.68513 NaN NaN NaN NaN NaN NaN 324.605 NaN 0.0376329 NaN NaN NaN NaN 1.53938 4835.36196100629 -4911.17724910112 NaN 1639597691.87 32.4605 NaN 0.0767945 NaN NaN NaN 
NaN NaN 0.0385803 1.68523 NaN NaN NaN NaN NaN NaN 305.449 NaN 0.0376329 NaN NaN NaN NaN 1.49051 NaN NaN NaN 1639597781.887 30.5449 NaN 0.0715585 NaN NaN NaN 
-0.300423 187.5 NaN NaN 0.4538 NaN NaN NaN 15.026 -0.285235 NaN 187.599 NaN NaN NaN NaN NaN NaN NaN NaN 0.441568 1639597841.899 NaN NaN NaN 8.00887 NaN NaN 
NaN NaN 0.0488202 1.68537 NaN NaN NaN NaN NaN NaN 285.944 NaN 0.0376329 NaN NaN NaN NaN 1.45386 NaN NaN NaN 1639597871.905 28.5944 NaN 0.0750492 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639597931.917 NaN NaN 0.0733038 NaN NaN NaN 
NaN NaN 0.0478021 1.68552 NaN NaN NaN NaN NaN NaN 266.7 NaN 0.0376329 NaN NaN NaN NaN 1.50971 NaN NaN NaN 1639597961.922 26.67 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.38899523955 -4911.0740022705 NaN 1639598021.934 NaN NaN 0.0715585 NaN NaN NaN 
NaN NaN 0.0352182 1.68563 NaN NaN NaN NaN NaN NaN 247.042 NaN 0.0376329 NaN NaN NaN NaN 1.50622 NaN NaN NaN 1639598051.94 24.7042 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639598111.952 NaN NaN 0.0767945 NaN NaN NaN 
NaN NaN 0.0343839 1.68574 NaN NaN NaN NaN NaN NaN 228.235 NaN 0.0376329 NaN NaN NaN NaN 1.5865 NaN NaN NaN 1639598141.957 22.8235 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639598201.968 NaN NaN 0.0733038 NaN NaN NaN 
NaN NaN 0.0221561 1.6858 NaN NaN NaN NaN NaN NaN 209.931 NaN 0.0376329 NaN NaN NaN NaN 1.60047 NaN NaN NaN 1639598231.973 20.9931 NaN NaN NaN NaN NaN 
-0.300423 NaN NaN NaN 0.4538 NaN NaN NaN 15.0304 -0.285235 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.438078 1639598261.979 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639598291.985 NaN NaN 0.0715585 NaN NaN NaN 
NaN NaN 0.0221561 1.68583 NaN NaN NaN NaN NaN NaN 193.024 NaN 0.0376329 NaN NaN NaN NaN 1.68075 NaN NaN NaN 1639598321.99 19.3024 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.40771834842 -4910.97332283827 NaN 1639598351.996 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639598382.001 NaN NaN 0.0680678 NaN NaN NaN 
NaN NaN 0.0221561 1.68584 NaN NaN NaN NaN NaN NaN 177.32 NaN 0.0376329 NaN NaN NaN NaN 1.65108 NaN NaN NaN 1639598412.006 17.732 NaN NaN NaN NaN NaN 
NaN 187.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN 187.871 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639598442.012 NaN NaN 0.0698132 8.02852 NaN NaN 
NaN NaN 0.0297552 1.68589 NaN NaN NaN NaN NaN NaN 161.003 NaN 0.0376329 NaN NaN NaN NaN 1.45211 NaN NaN NaN 1639598502.023 16.1003 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639598532.029 NaN NaN 0.0785398 NaN NaN NaN 
NaN NaN 0.06599 1.68598 NaN NaN NaN NaN NaN NaN 150.65 NaN 0.0607917 NaN NaN NaN NaN 1.46259 NaN NaN NaN 1639598562.035 15.065 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639598592.041 NaN NaN 0.0890118 NaN NaN NaN 
NaN NaN 0.0887284 1.68615 NaN NaN NaN NaN NaN NaN 132.913 NaN 0.0607917 NaN NaN NaN NaN 1.27584 NaN NaN NaN 1639598652.051 13.2913 NaN NaN NaN NaN NaN 
-0.300423 NaN NaN NaN 0.4538 NaN NaN NaN 15.0275 -0.285235 NaN NaN NaN NaN NaN NaN NaN NaN 4835.43378605667 -4910.88504687259 0.42237 1639598682.057 NaN NaN 0.0802851 NaN NaN NaN 
NaN NaN 0.086792 1.68641 NaN NaN NaN NaN NaN NaN 112.774 NaN 0.0868453 NaN NaN NaN NaN 1.35263 NaN NaN NaN 1639598742.069 11.2774 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639598772.075 NaN NaN 0.0767945 NaN NaN NaN 
NaN NaN 0.0516347 1.68662 NaN NaN NaN NaN NaN NaN 92.0891 NaN 0.0868453 NaN NaN NaN NaN 1.54811 NaN NaN NaN 1639598832.085 9.20891 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639598862.091 NaN NaN 0.0698132 NaN NaN NaN 
NaN NaN 0.0340383 1.68668 NaN NaN NaN NaN NaN NaN 75.5104 NaN 0.055002 NaN NaN NaN NaN 1.74707 NaN NaN NaN 1639598922.102 7.55104 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639598952.108 NaN NaN 0.0506145 NaN NaN NaN 
NaN NaN -0.0174044 1.68663 NaN NaN NaN NaN NaN NaN 59.1939 NaN -0.0202639 NaN NaN NaN NaN 1.71566 4835.45563212765 -4910.77979735076 NaN 1639599012.119 5.91939 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639599042.125 NaN NaN 0.0610865 NaN NaN NaN 
NaN 187.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN 188.211 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639599072.129 NaN NaN NaN 8.05538 NaN NaN 
-0.339178 NaN 0.0417489 1.68665 0.4538 NaN NaN NaN 15.0264 -0.285235 45.1708 NaN -0.0202639 NaN NaN NaN NaN 1.51844 NaN NaN 0.415388 1639599102.134 4.51708 NaN 0.0750492 NaN NaN NaN 
NaN NaN 0.0427858 1.68674 NaN NaN NaN NaN NaN NaN 29.7061 NaN 0.0347381 NaN NaN NaN NaN 1.56381 NaN NaN NaN 1639599192.152 2.97061 NaN 0.0680678 NaN NaN NaN 
NaN NaN -0.110609 1.68677 NaN NaN NaN NaN NaN NaN 21.8864 NaN -0.0839504 NaN NaN NaN NaN 1.90939 NaN NaN NaN 1639599255.171 2.18864 NaN 0.0680678 NaN NaN NaN 
NaN NaN -0.039882 1.68676 NaN NaN NaN NaN NaN NaN 26.9976 NaN -0.0492123 NaN NaN NaN NaN 1.81165 4835.46785405838 -4910.71162404639 NaN 1639599337.285 2.69976 NaN 0.0663225 NaN NaN NaN 
NaN NaN -0.0281041 1.68674 NaN NaN NaN NaN NaN NaN 40.0814 NaN -0.0492123 NaN NaN NaN NaN 1.7942 NaN NaN NaN 1639599427.302 4.00814 NaN 0.0680678 NaN NaN NaN 
0.131565 NaN -0.0207984 1.6867 -0.4538 NaN NaN NaN 15.023 0.226191 54.3448 NaN -0.0231587 NaN NaN NaN NaN 1.81863 NaN NaN -0.485202 1639599517.32 5.43448 NaN 0.0628319 NaN NaN NaN 
NaN NaN -0.0518865 1.68663 NaN NaN NaN NaN NaN NaN 68.062 NaN -0.0231587 NaN NaN NaN NaN 2.02109 NaN NaN NaN 1639599607.336 6.8062 NaN 0.0733038 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.46809204386 -4910.64259875205 NaN 1639599667.348 NaN NaN NaN NaN NaN NaN 
NaN -237.5 -0.0902413 1.68647 NaN NaN NaN NaN NaN NaN 82.0414 -235.372 -0.115794 NaN NaN NaN NaN 2.01062 NaN NaN NaN 1639599697.354 8.20414 NaN 0.0558505 7.83334 NaN NaN 
NaN NaN -0.0330016 1.68636 NaN NaN NaN NaN NaN NaN 97.9866 NaN -0.0492123 NaN NaN NaN NaN 1.86925 NaN NaN NaN 1639599787.373 9.79866 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.0325324 1.68629 NaN NaN NaN NaN NaN NaN 110.59 NaN -0.0492123 NaN NaN NaN NaN 1.64235 NaN NaN NaN 1639599877.39 11.059 NaN 0.0575959 NaN NaN NaN 
0.131565 NaN NaN NaN -0.4538 NaN NaN NaN 15.0319 0.226191 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.516617 1639599937.401 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.120403 1.68638 NaN NaN NaN NaN NaN NaN 121.992 NaN 0.0492123 NaN NaN NaN NaN 1.01753 NaN NaN NaN 1639599967.407 12.1992 NaN 0.0418879 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.47542343163 -4910.58366007461 NaN 1639599971.409 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.45 1.68664 NaN NaN NaN NaN NaN NaN 129.79 NaN 0.451516 NaN NaN NaN NaN 0.710349 NaN NaN NaN 1639600031.443 12.979 NaN 0.0506145 NaN NaN NaN 
NaN NaN 0.45 1.6868 NaN NaN NaN NaN NaN NaN 136.714 NaN 0.451516 NaN NaN NaN NaN 1.09258 NaN NaN NaN 1639600091.773 13.6714 NaN 0.0785398 NaN NaN NaN 
NaN NaN 0.356789 1.6869 NaN NaN NaN NaN NaN NaN 144.031 NaN 0.331312 NaN NaN NaN NaN 1.0821 NaN NaN NaN 1639600151.864 14.4031 NaN 0.0523599 NaN NaN NaN 
NaN NaN 0.171529 1.68703 NaN NaN NaN NaN NaN NaN 152.725 NaN 0.205534 NaN NaN NaN NaN 1.48528 NaN NaN NaN 1639600215.905 15.2725 NaN 0.0663225 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.49628279227 -4910.54775533838 NaN 1639600271.999 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.160701 1.68702 NaN NaN NaN NaN NaN NaN 159.714 NaN -0.165006 NaN NaN NaN NaN 1.92684 NaN NaN NaN 1639600276.004 15.9714 NaN 0.0663225 NaN NaN NaN 
NaN -237.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN -235.848 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639600300.019 NaN NaN NaN 7.82122 NaN NaN 
NaN NaN -0.249967 1.68695 NaN NaN NaN NaN NaN NaN 166.769 NaN -0.243167 NaN NaN NaN NaN 1.98968 NaN NaN NaN 1639600336.097 16.6769 NaN 0.0855211 NaN NaN NaN 
0.131565 NaN NaN NaN -0.4538 NaN NaN NaN 15.0164 0.226191 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.53058 1639600340.104 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.262172 1.6869 NaN NaN NaN NaN NaN NaN 173.453 NaN -0.276461 NaN NaN NaN NaN 1.83085 NaN NaN NaN 1639600396.137 17.3453 NaN 0.0680678 NaN NaN NaN 
NaN NaN -0.413722 1.68687 NaN NaN NaN NaN NaN NaN 179.831 NaN -0.408336 NaN NaN NaN NaN 1.8867 NaN NaN NaN 1639600456.243 17.9831 NaN 0.0593412 NaN NaN NaN 
NaN NaN -0.0724678 1.68684 NaN NaN NaN NaN NaN NaN 185.292 NaN -0.0955298 NaN NaN NaN NaN 1.76976 NaN NaN NaN 1639600516.333 18.5292 NaN 0.0628319 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.4962236838 -4910.503609023 NaN 1639600572.37 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0724678 1.68683 NaN NaN NaN NaN NaN NaN 191.386 NaN -0.0752659 NaN NaN NaN NaN 1.67028 NaN NaN NaN 1639600576.375 19.1386 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.184916 1.68686 NaN NaN NaN NaN NaN NaN 198.398 NaN 0.150532 NaN NaN NaN NaN 1.45037 NaN NaN NaN 1639600636.465 19.8398 NaN 0.0575959 NaN NaN NaN 
NaN NaN 0.21255 1.6869 NaN NaN NaN NaN NaN NaN 205.846 NaN 0.237377 NaN NaN NaN NaN 1.60745 NaN NaN NaN 1639600696.556 20.5846 NaN 0.0628319 NaN NaN NaN 
0.131565 NaN NaN NaN -0.4538 NaN NaN NaN 15.0085 0.226191 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.47822 1639600740.585 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.21255 1.6869 NaN NaN NaN NaN NaN NaN 213.622 NaN 0.211323 NaN NaN NaN NaN 1.71042 NaN NaN NaN 1639600756.599 21.3622 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.0239248 1.68687 NaN NaN NaN NaN NaN NaN 221.704 NaN -0.00289484 NaN NaN NaN NaN 1.85703 NaN NaN NaN 1639600820.696 22.1704 NaN 0.0628319 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.50292154328 -4910.45246036502 NaN 1639600872.783 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0453622 1.68684 NaN NaN NaN NaN NaN NaN 229.043 NaN -0.055002 NaN NaN NaN NaN 1.75231 NaN NaN NaN 1639600880.791 22.9043 NaN 0.0610865 NaN NaN NaN 
NaN -237.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN -236.165 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639600900.807 NaN NaN NaN 7.79731 NaN NaN 
NaN NaN 0.101213 1.68685 NaN NaN NaN NaN NaN NaN 236.273 NaN 0.0723711 NaN NaN NaN NaN 1.56556 NaN NaN NaN 1639600940.89 23.6273 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.181868 1.68688 NaN NaN NaN NaN NaN NaN 243.787 NaN 0.17948 NaN NaN NaN NaN 1.57603 NaN NaN NaN 1639601000.925 24.3787 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.186769 1.68689 NaN NaN NaN NaN NaN NaN 251.432 NaN 0.17948 NaN NaN NaN NaN 1.71391 NaN NaN NaN 1639601061.017 25.1432 NaN 0.0663225 NaN NaN NaN 
NaN NaN 0.0443516 1.68687 NaN NaN NaN NaN NaN NaN 258.837 NaN 0.0578968 NaN NaN NaN NaN 1.77151 NaN NaN NaN 1639601121.125 25.8837 NaN 0.0610865 NaN NaN NaN 
0.131565 NaN NaN NaN -0.4538 NaN NaN NaN 15.0171 0.226191 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.476475 1639601141.136 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.51013922951 -4910.40101647742 NaN 1639601173.159 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0443516 1.68687 NaN NaN NaN NaN NaN NaN 266.198 NaN 0.0578968 NaN NaN NaN NaN 1.63014 NaN NaN NaN 1639601181.166 26.6198 NaN 0.0575959 NaN NaN NaN 
NaN NaN 0.186746 1.68689 NaN NaN NaN NaN NaN NaN 273.646 NaN 0.170796 NaN NaN NaN NaN 1.60047 NaN NaN NaN 1639601241.257 27.3646 NaN 0.0610865 NaN NaN NaN 
NaN NaN 0.186746 1.6869 NaN NaN NaN NaN NaN NaN 280.92 NaN 0.170796 NaN NaN NaN NaN 1.75406 NaN NaN NaN 1639601301.573 28.092 NaN 0.0575959 NaN NaN NaN 
NaN NaN 0.186746 1.68688 NaN NaN NaN NaN NaN NaN 288.587 NaN 0.170796 NaN NaN NaN NaN 1.77849 NaN NaN NaN 1639601365.559 28.8587 NaN 0.0610865 NaN NaN NaN 
NaN NaN -0.0350275 1.68685 NaN NaN NaN NaN NaN NaN 295.795 NaN -0.0144742 NaN NaN NaN NaN 1.82387 NaN NaN NaN 1639601425.65 29.5795 NaN 0.0593412 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4835.51518039856 -4910.35005374324 NaN 1639601473.681 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0592947 1.68683 NaN NaN NaN NaN NaN NaN 302.915 NaN -0.0636865 NaN NaN NaN NaN 1.76278 NaN NaN NaN 1639601485.749 30.2915 NaN 0.0575959 NaN NaN NaN 
