dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-12
the8x3_filename: 00410012
filename_extension: sbd
filename_label: sunfish-2021-335-1-12-sbd(00410012)
mission_name: regm20.mi
fileopen_time: Fri_Dec__3_11:42:02_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-12
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.310669 1638532787.708 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 135.694 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532795.718 13.5694 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0260895 1.33038 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0260536 NaN NaN NaN NaN 1.31249 NaN NaN NaN 1638532819.786 NaN NaN 0.00349066 7.97383 NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 139.495 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532827.794 13.9495 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 143.209 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532859.818 14.3209 NaN NaN NaN NaN NaN NaN 
-0.432197 -287.5 0.45 1.33053 NaN NaN NaN NaN 14.8717 -0.416328 NaN NaN NaN -277.844 0.451516 NaN NaN NaN NaN 1.22522 NaN NaN NaN 1638532879.834 NaN NaN -0.0139626 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 147.076 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532891.902 14.7076 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4805.10018426611 -5318.74007548108 NaN 1638532907.911 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 150.899 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532923.925 15.0899 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0624652 1.33049 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0607917 NaN NaN NaN NaN 1.4015 NaN NaN NaN 1638532939.939 NaN NaN 0.00349066 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 154.656 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532955.954 15.4656 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 158.632 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638532988.029 15.8632 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0688939 1.33021 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0607917 NaN NaN NaN NaN 1.37357 NaN NaN NaN 1638533000.039 NaN NaN 0 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 162.215 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638533020.055 16.2215 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 165.732 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638533052.079 16.5732 NaN NaN NaN NaN NaN NaN 
