dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-2-0
the8x3_filename: 00260000
filename_extension: sbd
filename_label: sunfish-2021-291-2-0-sbd(00260000)
mission_name: regm20.mi
fileopen_time: Tue_Oct_19_14:04:08_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-2-0
c_ballast_pumped c_battpos c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_ballast_pumped m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
cc in rad rad rad lat lon m cc volts in amp-hrs amp-hrs m rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN -0.066516 0.592746 NaN NaN NaN NaN NaN NaN NaN NaN NaN 30.1512 -0.0897401 NaN NaN NaN NaN 0.253073 NaN NaN NaN 1634653201.56 3.01512 NaN 0.020944 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653205.568 NaN 39.6943 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 38.3082 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653213.624 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 48.5981 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653255.636 4.85981 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.129033 0.601437 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0694762 NaN NaN NaN NaN 0.834267 NaN NaN NaN 1634653263.646 NaN NaN 0.015708 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653267.67 NaN 20.589 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 21.6567 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653275.676 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 59.1017 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653287.687 5.91017 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 72.9313 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634653319.731 7.29313 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.106244 0.600372 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.101319 NaN NaN NaN NaN 0.404916 NaN NaN NaN 1634653323.739 NaN NaN 0.0366519 NaN NaN NaN 4 
