dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-97
the8x3_filename: 00410097
filename_extension: sbd
filename_label: sunfish-2021-335-1-97-sbd(00410097)
mission_name: regm20.mi
fileopen_time: Fri_Dec_10_22:10:04_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-97
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 171.23 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639175903.552 17.123 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.031452 1.56037 -0.3491 NaN NaN 21.4652 NaN NaN NaN NaN 175.248 NaN 0.0318433 NaN NaN NaN NaN 1.4748 NaN NaN -0.298451 1639175945.57 17.5248 21.0813 0.0436332 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 178.371 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639175977.843 17.8371 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.125119 1.56037 NaN NaN NaN 14.5788 NaN NaN NaN NaN NaN NaN 0.124478 NaN NaN NaN NaN 1.52891 NaN NaN NaN 1639176005.861 NaN 14.0982 0.0366519 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 180.926 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176009.869 18.0926 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 181.406 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176041.891 18.1406 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.125119 1.56037 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.124478 NaN NaN NaN NaN 1.60047 NaN NaN NaN 1639176065.964 NaN NaN 0.0453786 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 179.594 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176073.969 17.9594 NaN NaN NaN NaN NaN NaN 
-0.278848 162.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176089.981 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN 14.3647 -0.254485 NaN NaN 173.13 162.737 NaN NaN NaN NaN NaN NaN 4840.62159182845 -5125.35226344072 NaN 1639176123.994 17.313 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0262244 1.56036 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0231587 NaN NaN NaN NaN 1.69297 NaN NaN NaN 1639176153.999 NaN NaN 0.0488692 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 164.809 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176184.004 16.4809 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.044052 1.56034 NaN NaN NaN NaN NaN NaN NaN NaN 155.222 NaN -0.0231587 NaN NaN NaN NaN 1.77849 NaN NaN NaN 1639176244.016 15.5222 NaN 0.0488692 NaN NaN NaN 4 
NaN NaN NaN NaN 0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.352556 1639176274.022 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 147.36 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176304.028 14.736 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0701135 1.56031 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0463175 NaN NaN NaN NaN 1.85878 NaN NaN NaN 1639176334.034 NaN NaN 0.0453786 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 139.193 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176364.04 13.9193 NaN NaN 8.25089 NaN NaN NaN 
-0.278848 162.5 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176394.045 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0685912 1.56027 NaN NaN NaN NaN NaN NaN NaN NaN 130.872 NaN -0.0723711 NaN NaN NaN NaN 1.83958 NaN NaN NaN 1639176424.051 13.0872 NaN 0.0471239 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN 14.6418 -0.254485 NaN NaN NaN 162.963 NaN NaN NaN NaN NaN NaN 4840.6274573251 -5125.26475211939 NaN 1639176454.057 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 123.01 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639176484.063 12.301 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0733188 1.56024 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0723711 NaN NaN NaN NaN 1.89543 NaN NaN NaN 1639176514.069 NaN NaN 0.0488692 NaN NaN NaN 4 
