dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-111
the8x3_filename: 00410111
filename_extension: sbd
filename_label: sunfish-2021-335-1-111-sbd(00410111)
mission_name: regm20.mi
fileopen_time: Sun_Dec_12_12:17:02_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-111
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN 0.0334646 1.5629 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0289484 NaN NaN NaN NaN 1.51146 NaN NaN NaN 1639312872.424 NaN NaN 0.0506145 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 143.655 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639312902.43 14.3655 NaN NaN NaN NaN NaN NaN 
-0.127103 -237.5 0.0334646 1.5629 NaN NaN NaN NaN 15.0279 -0.147668 NaN NaN 150.207 -228.664 0.0318433 NaN NaN NaN NaN 1.49749 4850.13352253745 -5046.43596189891 NaN 1639312962.442 15.0207 NaN 0.0366519 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639312966.45 NaN 86.0366 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 85.7817 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639312974.455 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 155.557 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313012.518 15.5557 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0313027 1.56291 NaN NaN NaN 85.4994 NaN NaN NaN NaN NaN NaN 0.0318433 NaN NaN NaN NaN 1.52367 NaN NaN NaN 1639313042.524 NaN 85.0882 0.0383972 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 161.934 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313072.53 16.1934 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.345575 1639313102.536 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0313027 1.56291 NaN NaN NaN NaN NaN NaN NaN NaN 168.463 NaN 0.0289484 NaN NaN NaN NaN 1.53589 NaN NaN NaN 1639313132.541 16.8463 NaN 0.0418879 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313136.544 NaN 65.9585 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 65.9585 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313140.547 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 173.049 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313174.554 17.3049 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0547779 1.56293 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0289484 NaN NaN NaN NaN 1.15192 NaN NaN NaN 1639313204.56 NaN 65.2435 0.0349066 8.07306 NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 180.125 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313234.566 18.0125 NaN NaN NaN NaN NaN NaN 
-0.127103 -237.5 NaN NaN NaN NaN NaN NaN 15.0486 -0.147668 NaN NaN NaN -228.868 NaN NaN NaN NaN NaN NaN 4850.15518786206 -5046.38223507389 NaN 1639313264.572 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.398012 1.56299 NaN NaN NaN NaN NaN NaN NaN NaN 183.685 NaN 0.138952 NaN NaN NaN NaN 1.01927 NaN NaN NaN 1639313268.577 18.3685 50.738 0.0383972 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN 50.738 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313272.592 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 187.79 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313306.6 18.779 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0815019 1.56302 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.115794 NaN NaN NaN NaN 1.26536 NaN NaN NaN 1639313336.606 NaN 50.3639 0.0418879 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 194.385 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639313366.612 19.4385 NaN NaN NaN NaN NaN NaN 
