dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-291-2-3
the8x3_filename: 00260003
filename_extension: sbd
filename_label: sunfish-2021-291-2-3-sbd(00260003)
mission_name: regm20.mi
fileopen_time: Tue_Oct_19_16:22:46_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-291-2-3
c_ballast_pumped c_battpos c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_ballast_pumped m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.07709 NaN NaN -0.677188 1634660681.779 NaN NaN 0.0174533 NaN NaN NaN 4 
NaN NaN -0.45 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.45385 NaN NaN NaN NaN NaN NaN NaN NaN 1634660685.786 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 12.9394 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634660693.79 1.29394 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.146136 4.99362 NaN NaN NaN NaN NaN NaN NaN NaN NaN 24.2225 0.228693 NaN NaN NaN NaN 4.67399 NaN NaN NaN 1634660753.801 2.42225 NaN -0.00349066 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634660757.808 NaN 51.0134 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 50.4811 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634660765.83 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 33.7344 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634660807.895 3.37344 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0228365 5.00883 NaN NaN NaN 50.2603 NaN NaN NaN NaN NaN NaN 0.0144742 NaN NaN NaN NaN 5.14523 NaN NaN NaN 1634660837.905 NaN 49.3382 0.00523599 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 39.1791 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634660841.909 3.91791 NaN NaN NaN NaN NaN NaN 
NaN -0.9 NaN NaN NaN NaN NaN NaN NaN 14.8544 -0.909952 NaN NaN 45.6953 NaN NaN NaN NaN NaN NaN 4725.99031783869 -5306.93213238847 NaN 1634660883.923 4.56953 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0244422 4.99471 NaN NaN NaN 40.1026 NaN NaN NaN NaN NaN NaN -0.0318433 NaN NaN NaN NaN 5.04575 NaN NaN NaN 1634660913.929 NaN 40.1026 -0.00523599 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 50.5059 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634660917.935 5.05059 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 56.1256 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634660959.948 5.61256 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0198907 4.99522 NaN NaN NaN 24.2286 NaN NaN NaN NaN NaN NaN -0.0868453 NaN NaN NaN NaN 4.90263 NaN NaN NaN 1634660975.962 NaN 23.6874 -0.010472 NaN NaN NaN 4 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN 62.2481 NaN NaN NaN NaN NaN NaN NaN NaN -0.310669 1634661005.967 6.22481 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0208174 5.00235 NaN NaN NaN 16.4835 NaN NaN NaN NaN NaN 66.5121 0.0231587 NaN NaN NaN NaN 4.94277 NaN NaN NaN 1634661038.054 6.65121 18.8718 -0.00174533 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 72.1536 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661070.081 7.21536 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0208174 5.0071 NaN NaN NaN 14.6198 NaN NaN NaN NaN NaN NaN 0.0231587 NaN NaN NaN NaN 4.93405 NaN NaN NaN 1634661098.109 NaN 13.7055 -0.00523599 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 82.9119 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661102.168 8.29119 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 84.7705 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661134.203 8.47705 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0208174 5.00988 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0231587 NaN NaN NaN NaN 5.00037 NaN NaN NaN 1634661158.222 NaN NaN -0.00523599 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 82.3652 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661166.232 8.23652 NaN NaN 8.14904 NaN NaN NaN 
NaN 0.134723 NaN NaN NaN NaN NaN NaN NaN 14.0647 0.132322 NaN NaN NaN NaN NaN NaN NaN NaN NaN 4725.98543305587 -5307.00293235937 NaN 1634661186.25 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 77.0954 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661198.317 7.70954 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0208174 5.00692 NaN NaN NaN NaN NaN NaN NaN NaN NaN 68.3051 0.0231587 NaN NaN NaN NaN 5.04226 NaN NaN NaN 1634661240.333 6.83051 NaN -0.00872665 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 58.5965 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661300.343 5.85965 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0208174 5.00041 0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0231587 NaN NaN NaN NaN 5.01957 NaN NaN 0.326377 1634661330.349 NaN NaN -0.00872665 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 49.4126 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661360.355 4.94126 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0208174 4.98996 NaN NaN NaN NaN NaN NaN NaN NaN NaN 40.3162 0.0231587 NaN NaN NaN NaN 5.044 NaN NaN NaN 1634661420.367 4.03162 NaN -0.00698132 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 32.5317 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661480.378 3.25317 NaN NaN NaN NaN NaN NaN 
NaN 0.633358 -0.0203765 4.96369 NaN NaN NaN NaN NaN 14.473 0.650222 NaN NaN NaN -0.0173691 NaN NaN NaN NaN 5.05796 4725.98328176882 -5307.09971513754 NaN 1634661510.384 NaN NaN 0.00349066 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 26.6059 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661540.389 2.66059 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0291384 4.90595 NaN NaN NaN NaN NaN NaN NaN NaN NaN 20.1991 -0.0173691 NaN NaN NaN NaN 5.03527 NaN NaN NaN 1634661600.401 2.01991 NaN 0 NaN NaN NaN 4 
NaN NaN -0.0698766 4.7599 0.3491 NaN NaN NaN NaN NaN NaN NaN NaN 12.9176 -0.0434226 NaN NaN NaN NaN 5.16443 NaN NaN 0.363028 1634661660.412 1.29176 NaN 0 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 8.06323 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661694.378 0.806323 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.45 3.83173 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.452683 NaN NaN NaN NaN 4.70541 NaN NaN NaN 1634661722.773 NaN NaN -0.010472 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 3.84302 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661726.781 0.384302 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0747063 3.8236 NaN NaN NaN NaN NaN NaN NaN NaN NaN 18.4716 -0.0984246 NaN NaN NaN NaN 3.71232 NaN NaN NaN 1634661784.807 1.84716 NaN -0.00698132 7.99021 NaN NaN 4 
NaN -0.9 NaN NaN NaN NaN NaN NaN NaN 14.6273 -0.91157 NaN NaN NaN NaN NaN NaN NaN NaN NaN 4725.96540359283 -5307.15919995058 NaN 1634661814.812 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 23.7633 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661818.817 2.37633 68.2335 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 67.1951 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661826.823 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0287609 3.82967 NaN NaN NaN NaN NaN NaN NaN NaN NaN 30.4325 0.0347381 NaN NaN NaN NaN 3.70882 NaN NaN NaN 1634661864.893 3.04325 NaN 0.00174533 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661894.898 NaN 65.0403 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 38.2388 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661924.905 3.82388 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0275528 3.8307 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0347381 NaN NaN NaN NaN 4.08407 NaN NaN NaN 1634661954.911 NaN NaN 0.00349066 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 43.3556 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634661958.915 4.33556 46.7536 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN 46.7536 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.336849 1634661962.934 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 49.5438 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662000.946 4.95438 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0386475 3.82479 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0463175 NaN NaN NaN NaN 3.82053 NaN NaN NaN 1634662030.952 NaN 46.0308 -0.00872665 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 54.4856 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662034.957 5.44856 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 35.9668 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662038.959 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 60.4988 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662076.97 6.04988 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0386475 3.82619 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0463175 NaN NaN NaN NaN 3.6809 NaN NaN NaN 1634662106.976 NaN 35.0085 -0.00174533 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 65.4188 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662110.982 6.54188 NaN NaN NaN NaN NaN NaN 
NaN -0.767992 NaN NaN NaN NaN NaN 24.4532 NaN 14.9383 -0.791806 NaN NaN NaN NaN NaN NaN NaN NaN NaN 4725.90884205702 -5307.18751717546 NaN 1634662114.985 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 71.1696 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662153.043 7.11696 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0900988 3.83199 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.104214 NaN NaN NaN NaN 3.72628 NaN NaN NaN 1634662169.048 NaN 19.916 -0.00349066 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN 15.7236 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662177.058 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 75.3461 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662185.067 7.53461 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 84.0052 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662217.114 8.40052 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0812726 3.83132 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0723711 NaN NaN NaN NaN 3.91303 NaN NaN NaN 1634662229.126 NaN 13.3392 -0.00523599 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN 14.5846 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662237.213 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 90.0185 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662249.227 9.00185 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN 0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.219911 1634662265.241 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 89.0126 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662281.26 8.90126 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0812726 3.83049 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0752659 NaN NaN NaN NaN 3.89208 NaN NaN NaN 1634662289.27 NaN NaN 0.00698132 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 84.3332 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662313.319 8.43332 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0960599 3.8286 NaN NaN NaN NaN NaN NaN NaN NaN NaN 73.2688 -0.0955298 NaN NaN NaN NaN 3.78562 NaN NaN NaN 1634662371.416 7.32688 NaN -0.00349066 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662401.421 NaN NaN NaN 8.65011 NaN NaN NaN 
NaN 0.667013 NaN NaN NaN NaN NaN NaN NaN 14.2638 0.685827 NaN NaN 64.5004 NaN NaN NaN NaN NaN NaN 4725.85607351368 -5307.2114187573 NaN 1634662431.427 6.45004 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0367416 3.83382 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0231587 NaN NaN NaN NaN 3.69312 NaN NaN NaN 1634662461.432 NaN NaN 0 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 56.1037 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662491.438 5.61037 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0262684 3.84046 NaN NaN NaN NaN NaN NaN NaN NaN NaN 47.3571 0.0231587 NaN NaN NaN NaN 3.73151 NaN NaN NaN 1634662551.45 4.73571 NaN 0 NaN NaN NaN 4 
NaN NaN NaN NaN 0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.300197 1634662581.455 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 38.8292 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662611.46 3.88292 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0257015 3.84531 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0260536 NaN NaN NaN NaN 3.90779 NaN NaN NaN 1634662641.466 NaN NaN 0.00698132 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 31.5477 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662671.472 3.15477 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0484646 3.85087 NaN NaN NaN NaN NaN NaN NaN NaN NaN 26.0593 0.0492123 NaN NaN NaN NaN 3.6041 NaN NaN NaN 1634662731.484 2.60593 NaN 0.00523599 NaN NaN NaN 4 
NaN 0.508825 NaN NaN NaN NaN NaN NaN NaN 14.5436 0.540168 NaN NaN NaN NaN NaN NaN NaN NaN NaN 4725.79645329115 -5307.23092127049 NaN 1634662761.489 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0607623 3.85739 NaN NaN NaN NaN NaN NaN NaN NaN NaN 19.4994 0.0492123 NaN NaN NaN NaN 3.64948 NaN NaN NaN 1634662791.495 1.94994 NaN -0.00698132 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 11.9117 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662851.505 1.19117 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.45 3.86655 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0492123 NaN NaN NaN NaN 3.67392 NaN NaN NaN 1634662855.502 NaN NaN 0.00349066 NaN NaN NaN 4 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN 8.0195 NaN NaN NaN NaN NaN NaN NaN NaN 0.572468 1634662883.521 0.80195 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.06944 3.86706 NaN NaN NaN NaN NaN NaN NaN NaN NaN 4.25848 -0.0607917 NaN NaN NaN NaN 3.90256 NaN NaN NaN 1634662915.566 0.425848 NaN -0.00698132 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 18.3623 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634662973.646 1.83623 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0431304 3.87259 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0607917 NaN NaN NaN NaN 3.53255 NaN NaN NaN 1634663003.652 NaN NaN -0.00872665 8.06848 NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 22.8886 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663007.656 2.28886 67.7402 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 67.4471 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663015.663 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 30.9136 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663053.677 3.09136 NaN NaN NaN NaN NaN NaN 
NaN -0.714739 -0.0349586 3.88149 NaN NaN NaN NaN NaN 14.71 -0.783714 NaN NaN NaN 0.0521072 NaN NaN NaN NaN 4.30747 4725.73793170869 -5307.25893383282 NaN 1634663083.683 NaN 65.8237 0.0296706 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 39.0042 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663113.688 3.90042 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.45 3.84712 NaN NaN NaN NaN NaN NaN NaN NaN NaN 44.274 -0.127373 NaN NaN NaN NaN 4.36332 NaN NaN NaN 1634663147.692 4.4274 44.8049 0.00174533 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN 44.8049 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663151.699 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN 50.659 NaN NaN NaN NaN NaN NaN NaN NaN -0.363028 1634663189.71 5.0659 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0511439 3.83582 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0955298 NaN NaN NaN NaN 3.96539 NaN NaN NaN 1634663219.717 NaN 44.1612 0 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 55.9506 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663223.722 5.59506 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 33.0999 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663227.726 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 62.1607 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663265.792 6.21607 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0696675 3.82821 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0665814 NaN NaN NaN NaN 3.88685 NaN NaN NaN 1634663281.805 NaN 25.1038 -0.00349066 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN 25.7172 NaN NaN NaN NaN NaN 69.2454 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663311.811 6.92454 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0696675 3.8301 NaN NaN NaN NaN NaN NaN NaN NaN NaN 73.9904 -0.0665814 NaN NaN NaN NaN 3.76118 NaN NaN NaN 1634663343.833 7.39904 17.7338 0 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN 14.8708 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663372.493 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 81.8186 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663376.496 8.18186 NaN NaN NaN NaN NaN NaN 
NaN 0.208618 NaN NaN NaN NaN NaN NaN NaN 14.6438 0.211625 NaN NaN NaN NaN NaN NaN NaN NaN NaN 4725.69054982184 -5307.29719592064 NaN 1634663384.5 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0629947 3.83288 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0665814 NaN NaN NaN NaN 3.84147 NaN NaN NaN 1634663404.516 NaN 13.1927 0.00523599 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 88.0723 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663408.524 8.80724 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 87.5476 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663440.543 8.75476 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.154531 3.8296 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.144742 NaN NaN NaN NaN 3.98808 NaN NaN NaN 1634663464.825 NaN NaN 0 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 82.9119 NaN NaN NaN NaN NaN NaN NaN NaN NaN 1634663472.858 8.29119 NaN NaN NaN NaN NaN NaN 
