Order	parameter name	long_name	cf_standard_name	unit	valid_min	valid_max	core/bio/intermediate core/intermediate bio	sdn_parameter_urn	sdn_uom_urn	Fillvalue	Data Type
62	PH_IN_SITU_SEAWATER	pH	-	dimensionless	-	-	ib	SDN:P01::PHSWWCAL	SDN:P06::UUPH	99999	float
63	RAW_DOWNWELLING_IRRADIANCE	Raw downwelling irradiance at x nanometers	-	count	-	-	ib	SDN:P01::DWIRXXZZ	SDN:P06::UUUU	99999	float
64	RAW_DOWNWELLING_IRRADIANCE380	Raw downwelling irradiance at 380 nanometers	-	count	-	-	ib	SDN:P01::DWIRXXZZ	SDN:P06::UUUU	99999	float
65	RAW_DOWNWELLING_IRRADIANCE412	Raw downwelling irradiance at 412 nanometers	-	count	-	-	ib	SDN:P01::DWIRXXZZ	SDN:P06::UUUU	99999	float
66	RAW_DOWNWELLING_IRRADIANCE443	Raw downwelling irradiance at 443 nanometers	-	count	-	-	ib	SDN:P01::DWIRXXZZ	SDN:P06::UUUU	99999	float
67	RAW_DOWNWELLING_IRRADIANCE490	Raw downwelling irradiance at 490 nanometers	-	count	-	-	ib	SDN:P01::DWIRXXZZ	SDN:P06::UUUU	99999	float
68	RAW_DOWNWELLING_IRRADIANCE555	Raw downwelling irradiance at 555 nanometers	-	count	-	-	ib	SDN:P01::DWIRXXZZ	SDN:P06::UUUU	99999	float
69	RAW_DOWNWELLING_IRRADIANCE670	Raw downwelling irradiance at 670 nanometers	-	count	-	-	ib	SDN:P01::DWIRXXZZ	SDN:P06::UUUU	99999	float
70	DOWN_IRRADIANCE	Downwelling irradiance at x nanometers	-	W/m^2/nm	-	-	b	SDN:P01::DWIRXXED	SDN:P06::UWNM	99999	float
71	DOWN_IRRADIANCE380	Downwelling irradiance at 380 nanometers	-	W/m^2/nm	-	-	b	SDN:P01::RXUD380E	SDN:P06::UWNM	99999	float
72	DOWN_IRRADIANCE412	Downwelling irradiance at 412 nanometers	-	W/m^2/nm	-	-	b	SDN:P01::RXUD412E	SDN:P06::UWNM	99999	float
73	DOWN_IRRADIANCE443	Downwelling irradiance at 443 nanometers	-	W/m^2/nm	-	-	b	SDN:P01::RXUD443E	SDN:P06::UWNM	99999	float
74	DOWN_IRRADIANCE490	Downwelling irradiance at 490 nanometers	-	W/m^2/nm	-	-	b	SDN:P01::RXUD490E	SDN:P06::UWNM	99999	float
75	DOWN_IRRADIANCE555	Downwelling irradiance at 555 nanometers	-	W/m^2/nm	-	-	b	SDN:P01::RXUD555E	SDN:P06::UWNM	99999	float
76	DOWN_IRRADIANCE670	Downwelling irradiance at 670 nanometers	-	W/m^2/nm	-	-	b	SDN:P01::RXUD670E	SDN:P06::UWNM	99999	float
77	RAW_UPWELLING_RADIANCE	Raw upwelling radiance at x nanometers	-	count	-	-	ib	SDN:P01::UPRAXXZZ	SDN:P06::UUUU	99999	float
78	RAW_UPWELLING_RADIANCE412	Raw upwelling radiance at 412 nanometers	-	count	-	-	ib	SDN:P01::UPRAXXZZ	SDN:P06::UUUU	99999	float
79	RAW_UPWELLING_RADIANCE443	Raw upwelling radiance at 443 nanometers	-	count	-	-	ib	SDN:P01::UPRAXXZZ	SDN:P06::UUUU	99999	float
80	RAW_UPWELLING_RADIANCE490	Raw upwelling radiance at 490 nanometers	-	count	-	-	ib	SDN:P01::UPRAXXZZ	SDN:P06::UUUU	99999	float
81	RAW_UPWELLING_RADIANCE555	Raw upwelling radiance at 555 nanometers	-	count	-	-	ib	SDN:P01::UPRAXXZZ	SDN:P06::UUUU	99999	float
82	UP_RADIANCE	Upwelling radiance at x nanometers	upwelling_radiance_in_sea_water	W/m^2/nm/sr	-	-	b	UPRAXXED	SDN:P06::UWNS	99999	float
83	UP_RADIANCE412	Upwelling radiance at 412 nanometers	upwelling_radiance_in_sea_water	W/m^2/nm/sr	-	-	b	SDN:P01::RXUU412L	SDN:P06::UWNS	99999	float
84	UP_RADIANCE443	Upwelling radiance at 443 nanometers	upwelling_radiance_in_sea_water	W/m^2/nm/sr	-	-	b	SDN:P01::RXUU443L	SDN:P06::UWNS	99999	float
85	UP_RADIANCE490	Upwelling radiance at 490 nanometers	upwelling_radiance_in_sea_water	W/m^2/nm/sr	-	-	b	SDN:P01::RXUU490L	SDN:P06::UWNS	99999	float
86	UP_RADIANCE555	Upwelling radiance at 555 nanometers	upwelling_radiance_in_sea_water	W/m^2/nm/sr	-	-	b	SDN:P01::RXUU555L	SDN:P06::UWNS	99999	float
87	RAW_DOWNWELLING_PAR	Raw downwelling photosynthetic available radiation	-	count	-	-	ib	SDN:P01::DWIRRXZZ	SDN:P06::UUUU	99999	float
88	DOWNWELLING_PAR	Downwelling photosynthetic available radiation	downwelling_photosynthetic_photon_flux_in_sea_water	microMoleQuanta/m^2/sec	-	-	b	SDN:P01::DWIRRXUD	SDN:P06::UMES	99999	float
89	TILT	Inclination of the float axis in respect to the local vertical	-	degree	-	-	ib			99999	float
90	MTIME	Fractional day of the individual measurement relative to JULD of the station	-	days	-3.	3	ib			999999	double
91	TEMP_CNDC	Internal temperature of the conductivity cell	-	degree_Celsius	-2	40	ic			99999	float
92	CHLA_FLUORESCENCE	Chlorophyll fluorescence with factory calibration	-	ru	-0.2	100	b			999999	float
93	BBP650	Particle backscattering at 650 nanometers	-	m-1	-	-	b	SDN:P01::BB117R02	SDN:P06::PMSR	99999	float
94	BBP880	Particle backscattering at 880 nanometers	-	m-1	-	-	b	SDN:P01::BB117IIR	SDN:P06::PMSR	99999	float
95	DOWN_IRRADIANCE532	Downwelling irradiance at 532 nanometers	-	W/m^2/nm	-	-	b	SDN:P01::RXUD532E	SDN:P06::UWNM	99999	float
