dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-130
the8x3_filename: 00410130
filename_extension: sbd
filename_label: sunfish-2021-335-1-130-sbd(00410130)
mission_name: regm20.mi
fileopen_time: Tue_Dec_14_12:49:30_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-130
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 108.34 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487211.24 10.834 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.152116 1.57768 NaN NaN NaN NaN NaN NaN 50.6047 64.7597 NaN NaN -0.159216 NaN NaN NaN NaN 2.31431 NaN NaN NaN 1639487241.245 NaN NaN 0.0366519 NaN NaN NaN 4 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN 115.788 NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.31765 1639487271.25 11.5788 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.147235 1.57759 NaN NaN NaN NaN NaN NaN NaN NaN 123.433 NaN -0.159216 NaN NaN NaN NaN 2.14675 NaN NaN NaN 1639487331.262 12.3433 NaN 0.0296706 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 131.209 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487391.273 13.1209 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.107987 1.57752 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.138952 NaN NaN NaN NaN 1.90241 NaN NaN NaN 1639487421.28 NaN NaN 0.0279253 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 138.723 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487451.286 13.8723 NaN NaN NaN NaN NaN NaN 
-0.523959 -312.5 -0.0599937 1.57748 NaN NaN NaN NaN 15.0897 -0.479447 NaN NaN 146.019 -306.876 -0.0723711 NaN NaN NaN NaN 1.74184 4847.11956089818 -4952.40783012204 NaN 1639487511.297 14.6019 NaN 0.0331613 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 153.161 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487571.308 15.3161 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0403098 1.57747 -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0376329 NaN NaN NaN NaN 1.58999 NaN NaN -0.307178 1639487575.315 NaN NaN 0.0331613 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 156.94 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487603.383 15.694 NaN NaN 7.83596 NaN NaN NaN 
NaN NaN -0.0403098 1.57748 NaN NaN NaN NaN NaN NaN NaN NaN 160.217 NaN -0.0376329 NaN NaN NaN NaN 1.54811 NaN NaN NaN 1639487635.407 16.0217 NaN 0.0366519 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 163.733 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487667.487 16.3733 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.19026 1.57748 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.165006 NaN NaN NaN NaN 1.27235 NaN NaN NaN 1639487695.502 NaN NaN 0.0296706 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 166.813 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487699.51 16.6813 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 169.762 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487731.53 16.9762 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.214621 1.5775 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.214218 NaN NaN NaN NaN 1.24617 NaN NaN NaN 1639487755.549 NaN NaN 0.0314159 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 172.602 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487763.611 17.2602 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 175.266 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487795.629 17.5266 NaN NaN NaN NaN NaN NaN 
-0.523959 -312.5 NaN NaN NaN NaN NaN NaN 15.0859 -0.479447 NaN NaN NaN -307.034 NaN NaN NaN NaN NaN NaN 4847.13769893303 -4952.34936082345 NaN 1639487811.643 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.172214 1.57752 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.188165 NaN NaN NaN NaN 1.35088 NaN NaN NaN 1639487815.651 NaN NaN 0.0366519 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 178.062 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487827.66 17.8062 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 180.945 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487859.739 18.0945 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.134272 1.57753 -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.133163 NaN NaN NaN NaN 1.52542 NaN NaN -0.303687 1639487875.753 NaN NaN 0.0349066 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 183.719 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487891.767 18.372 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 186.494 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487923.791 18.6494 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.134272 1.57753 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.133163 NaN NaN NaN NaN 1.60221 NaN NaN NaN 1639487935.803 NaN NaN 0.0279253 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 189.289 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487955.873 18.9289 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 192.02 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639487987.896 19.202 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.134272 1.57753 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.133163 NaN NaN NaN NaN 1.64585 NaN NaN NaN 1639487995.905 NaN NaN 0.0331613 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 195.121 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639488019.924 19.5121 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 197.917 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639488052.002 19.7917 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.03329 1.57752 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0289484 NaN NaN NaN NaN 1.68075 NaN NaN NaN 1639488056.009 NaN NaN 0.0349066 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 200.648 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639488084.027 20.0648 NaN NaN NaN NaN NaN NaN 
-0.523959 -312.5 NaN NaN NaN NaN NaN NaN 15.0792 -0.479447 NaN NaN NaN -307.034 NaN NaN NaN NaN NaN NaN 4847.14892774496 -4952.29515624725 NaN 1639488112.048 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0309321 1.57752 NaN NaN NaN NaN NaN NaN NaN NaN 203.64 NaN -0.0289484 NaN NaN NaN NaN 1.54636 NaN NaN NaN 1639488116.056 20.364 NaN 0.0349066 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 206.654 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639488148.129 20.6654 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0309321 1.57752 -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0289484 NaN NaN NaN NaN 1.63363 NaN NaN -0.300197 1639488176.15 NaN NaN 0.0331613 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 209.428 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639488180.158 20.9428 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639488204.173 NaN NaN NaN 7.80026 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 212.639 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639488212.616 21.2639 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0309321 1.57752 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0289484 NaN NaN NaN NaN 1.51495 NaN NaN NaN 1639488236.629 NaN NaN 0.0314159 NaN NaN NaN 5 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 215.523 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639488244.638 21.5523 NaN NaN NaN NaN NaN NaN 
