dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-95
the8x3_filename: 00410095
filename_extension: sbd
filename_label: sunfish-2021-335-1-95-sbd(00410095)
mission_name: regm20.mi
fileopen_time: Fri_Dec_10_19:31:16_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-95
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN 0.0740837 NaN NaN NaN NaN NaN NaN NaN NaN NaN 133.146 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639165784.344 13.3146 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56219 NaN NaN NaN NaN NaN NaN NaN NaN 136.684 NaN 0.0694762 NaN NaN NaN NaN 1.39277 NaN NaN NaN 1639165814.349 13.6684 NaN 0.0506145 NaN NaN NaN 4 
-0.316319 -262.5 0.0505394 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639165844.355 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 143.194 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639165874.361 14.3194 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.5622 -0.3491 NaN NaN NaN 15.0366 -0.272288 NaN NaN NaN -252.687 0.0578968 NaN NaN NaN NaN 1.42419 4840.21194659237 -5128.07686943552 -0.319395 1639165904.367 NaN NaN 0.0488692 NaN NaN NaN 4 
NaN NaN 0.0439995 NaN NaN NaN NaN NaN NaN NaN NaN NaN 148.807 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639165934.372 14.8807 NaN NaN 7.9889 NaN NaN NaN 
NaN NaN NaN 1.5622 NaN NaN NaN NaN NaN NaN NaN NaN 152.564 NaN 0.0578968 NaN NaN NaN NaN 1.82911 NaN NaN NaN 1639165968.375 15.2564 42.5348 0.0471239 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN 41.8081 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639165976.393 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0906865 NaN NaN NaN NaN NaN NaN NaN NaN NaN 157.457 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166014.408 15.7457 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56217 NaN NaN NaN 41.4105 NaN NaN NaN NaN NaN NaN -0.0810556 NaN NaN NaN NaN 1.93732 NaN NaN NaN 1639166044.414 NaN 40.8586 0.0418879 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 161.127 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166048.418 16.1127 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.072237 NaN NaN NaN NaN NaN NaN NaN NaN NaN 165.059 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166086.429 16.5059 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56215 NaN NaN NaN 32.0342 NaN NaN NaN NaN NaN NaN -0.0694762 NaN NaN NaN NaN 1.57952 NaN NaN NaN 1639166116.434 NaN 31.5507 0.0436332 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 168.51 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166120.439 16.851 NaN NaN NaN NaN NaN NaN 
-0.316319 -262.5 -0.0572437 NaN NaN NaN NaN NaN NaN NaN NaN NaN 172.267 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166158.499 17.2267 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56215 NaN NaN NaN 22.1128 NaN NaN NaN NaN 176.352 NaN -0.0521072 NaN NaN NaN NaN 1.40674 NaN NaN NaN 1639166200.505 17.6352 21.6518 0.0471239 NaN NaN NaN 5 
NaN NaN NaN NaN -0.3491 NaN NaN NaN 15.0553 -0.272288 NaN NaN NaN -252.914 NaN NaN NaN NaN NaN NaN 4840.21983554911 -5128.01688754034 -0.305433 1639166204.514 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN 0.151937 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166220.527 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 179.388 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166232.539 17.9388 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56217 NaN NaN NaN 14.5543 NaN NaN NaN NaN NaN NaN 0.17948 NaN NaN NaN NaN 1.39801 NaN NaN NaN 1639166260.561 NaN 13.9468 0.0418879 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 182.053 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166264.625 18.2053 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.241154 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166280.633 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 182.599 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166296.649 18.2599 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN 1.56217 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.276461 NaN NaN NaN NaN 1.4591 NaN NaN NaN 1639166320.668 NaN NaN 0.0401426 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 180.415 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166328.677 18.0415 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.277865 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166340.689 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 174.954 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639166378.704 17.4954 NaN NaN NaN NaN NaN NaN 
