dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-106
the8x3_filename: 00410106
filename_extension: sbd
filename_label: sunfish-2021-335-1-106-sbd(00410106)
mission_name: regm20.mi
fileopen_time: Sat_Dec_11_22:56:27_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-106
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639264686.39 14.0467 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 143.59 NaN NaN NaN NaN NaN NaN 1.44688 NaN NaN NaN 1639264716.397 NaN NaN 0.0453786 NaN NaN NaN 4 
NaN NaN 0.0311605 1.56252 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0607917 NaN NaN NaN NaN NaN NaN NaN NaN 1639264746.403 14.6756 NaN NaN NaN NaN NaN NaN 
-0.218899 -237.5 NaN NaN NaN NaN NaN NaN 15.0338 -0.233445 NaN NaN 149.551 -231.134 NaN NaN NaN NaN NaN NaN 4846.77111467056 -5100.64520655601 NaN 1639264776.409 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1.62141 NaN NaN NaN 1639264806.417 15.274 NaN 0.0366519 NaN NaN NaN 4 
NaN NaN 0.45 1.56251 NaN NaN NaN NaN NaN NaN NaN NaN 153.089 NaN -0.0289484 NaN NaN NaN NaN NaN NaN NaN NaN 1639264810.42 NaN 75.7128 NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN 75.7128 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639264818.424 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 157.763 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639264856.439 15.7763 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.0631275 1.5625 NaN NaN NaN 75.0672 NaN NaN NaN NaN 161.038 NaN -0.0260536 NaN NaN NaN NaN 1.78896 NaN NaN NaN 1639264886.445 16.1038 74.5289 0.0331613 NaN NaN NaN 4 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.308923 1639264916.451 NaN NaN NaN 8.07143 NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 167.415 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639264946.457 16.7415 NaN NaN NaN NaN NaN NaN 
NaN NaN -0.052832 1.56249 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0318433 NaN NaN NaN NaN 1.54811 NaN NaN NaN 1639264950.451 NaN 58.0181 0.0331613 NaN NaN NaN 4 
NaN NaN NaN NaN NaN NaN NaN 58.7165 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639264954.478 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 171.957 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1639264988.487 17.1957 NaN NaN NaN NaN NaN NaN 
NaN NaN 0.0428999 1.5625 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -0.0463175 NaN NaN NaN NaN 1.2706 NaN NaN NaN 1639265018.493 NaN 58.7165 0.0366519 NaN NaN NaN 4 
