dbd_label: DBD_ASC(dinkum_binary_data_ascii)file
encoding_ver: 2
num_ascii_tags: 14
all_sensors: 0
filename: sunfish-2021-335-1-44
the8x3_filename: 00410044
filename_extension: sbd
filename_label: sunfish-2021-335-1-44-sbd(00410044)
mission_name: regm20.mi
fileopen_time: Sun_Dec__5_15:04:15_2021
sensors_per_cycle: 31
num_label_lines: 3
num_segments: 1
segment_filename_0: sunfish-2021-335-1-44
c_battpos c_de_oil_vol c_fin c_heading c_pitch c_wpt_lat c_wpt_lon m_altitude m_battery m_battpos m_coulomb_amphr m_coulomb_amphr_total m_depth m_de_oil_vol m_fin m_final_water_vx m_final_water_vy m_gps_lat m_gps_lon m_heading m_lat m_lon m_pitch m_present_time m_pressure m_raw_altitude m_roll m_vacuum m_water_vx m_water_vy x_hd_fin_ap_ran 
in cc rad rad rad lat lon m volts in amp-hrs amp-hrs m cc rad m/s m/s lat lon rad lat lon rad timestamp bar m rad inHg m/s m/s bool 
4 4 4 4 4 8 8 4 4 4 4 4 4 4 4 4 4 8 8 4 8 8 4 8 4 4 4 4 4 4 1 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 31.8104 NaN 0.0665814 NaN NaN NaN NaN 2.04727 NaN NaN NaN 1638719476.226 3.18104 NaN 0.0453786 NaN NaN NaN NaN 
NaN NaN -0.0437545 2.05177 NaN NaN NaN NaN NaN NaN NaN NaN 40.1767 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719536.239 4.01767 NaN NaN NaN NaN NaN 4 
-0.181527 -237.5 NaN NaN NaN NaN NaN NaN 14.9335 -0.257722 NaN NaN NaN -235.984 -0.0463175 NaN NaN NaN NaN 2.15199 4819.22555979647 -5257.6363201242 NaN 1638719566.244 4.43926 NaN 0.0349066 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 48.7614 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719596.249 NaN NaN NaN 7.91619 NaN NaN 4 
NaN NaN -0.0232244 2.05145 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719626.254 5.28025 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 56.9529 NaN -0.0289484 NaN NaN NaN NaN 1.6057 NaN NaN NaN 1638719656.261 NaN NaN 0.0436332 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719686.267 6.07974 NaN NaN NaN NaN NaN 4 
NaN NaN 0.0622061 2.05239 NaN NaN NaN NaN NaN NaN NaN NaN 64.6201 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719716.273 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN -0.3491 NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0636865 NaN NaN NaN NaN 2.24449 NaN NaN -0.340339 1638719746.279 6.8421 NaN 0.0488692 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 72.3529 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719776.285 NaN NaN NaN NaN NaN NaN 4 
NaN NaN -0.0427009 2.05223 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719806.291 7.60664 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 79.3649 NaN -0.0521072 NaN NaN NaN NaN 1.9792 NaN NaN NaN 1638719836.296 NaN NaN 0.0418879 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719866.302 8.31002 NaN NaN NaN NaN NaN 5 
-0.181527 -237.5 0.0218589 2.05243 NaN NaN NaN NaN 15.0148 -0.25934 NaN NaN 86.4423 -236.528 NaN NaN NaN NaN NaN NaN 4819.22481306359 -5257.55525861048 NaN 1638719896.308 NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0202639 NaN NaN NaN NaN 1.80642 NaN NaN NaN 1638719926.313 8.99811 NaN 0.0349066 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 93.5417 NaN NaN NaN NaN 4819.2849 -5258.152 NaN NaN NaN NaN 1638719956.319 NaN NaN NaN NaN NaN NaN 4 
NaN NaN 0.0871048 2.05312 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638719986.325 9.68183 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 100.532 NaN 0.0926349 NaN NaN NaN NaN 1.87274 NaN NaN NaN 1638720016.331 NaN NaN 0.0453786 NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1638720046.336 10.4376 NaN NaN NaN NaN NaN 4 
